genres
432hz
[]
a cappella
abstract
abstract beats
abstract hip hop
accordeon
accordion
acid house
acid jazz
acid rock
acid trance
acousmatic
acoustic blues
acoustic pop
acoustic punk
adoracion
adult standards
adventista
afghan pop
african gospel
african percussion
african reggae
african rock
afro dancehall
afro house
afro psych
afro-cuban traditional
afro-funk
afrobeat
afrobeat brasileiro
afrofuturism
afrofuturismo brasileiro
afropop
afroswing
aggrotech
alabama indie
alabama metal
alabama rap
albanian pop
alberta country
alberta hip hop
album rock
albuquerque indie
alt-idol
alternative americana
alternative country
alternative dance
alternative emo
alternative hip hop
alternative metal
alternative pop
alternative pop rock
alternative r&b
alternative rock
alternative roots rock
ambeat
ambient
ambient black metal
ambient folk
ambient house
ambient idm
ambient pop
ambient techno
ambient worship
american choir
american contemporary classical
american folk revival
american metalcore
american modern classical
american post-rock
american primitive
american romanticism
american shoegaze
anadolu rock
anarcho-punk
andean
anglican liturgy
animal singing
anime
anime latino
anime rock
anime score
ann arbor indie
anthem emo
anthem worship
anti-folk
antilliaanse folklore
antiviral pop
appalachian folk
arab folk
arab groove
arab pop
arab trap
arabesk
arabic hip hop
arabic jazz
argentine ambient
argentine hardcore
argentine heavy metal
argentine hip hop
argentine indie
argentine metal
argentine punk
argentine reggae
argentine rock
arkansas country
arkansas indie
armenian folk
art pop
art punk
art rock
asbury park indie
asian american hip hop
asmr
athens indie
atl hip hop
atl trap
atlanta indie
atmosphere
atmospheric black metal
atmospheric dnb
atmospheric post-metal
atmospheric post-rock
atmospheric sludge
auckland indie
audiophile vocal
aussietronica
austin americana
austin hip hop
austin singer-songwriter
austindie
australian alternative pop
australian alternative rock
australian children's music
australian choir
australian country
australian dance
australian electropop
australian garage punk
australian hip hop
australian house
australian indie
australian indie folk
australian indie rock
australian indigenous
australian metal
australian metalcore
australian pop
australian post-hardcore
australian post-punk
australian psych
australian r&b
australian reggae fusion
australian rock
australian singer-songwriter
australian ska
australian talent show
australian trap
australian underground hip hop
austrian choir
austrian pop
austro-german modernism
autoharp
autonomous black metal
avant-garde
avant-garde jazz
avant-garde metal
axe
azeri traditional
azonto
azontobeats
bachata
background music
bahamian folk
bahamian pop
baiao
baile pop
bakersfield sound
balearic
balkan brass
ballet class
ballroom
baltic classical
baltimore hip hop
baltimore indie
banda
banda caliente
banda carnavalera
bandinhas
bandoneon
bangla
banjo
bansuri
barbadian pop
barbershop
bard
barnmusik
baroque
baroque ensemble
baroque pop
baroque singing
baroque violin
bass house
bass music
bass trap
basshall
bassline
bath indie
baton rouge indie
baton rouge rap
battle rap
bay area hip hop
bay area indie
bboy
bc underground hip hop
beach music
beat italiano
beat poetry
beatboxing
beatlesque
bebop
bedroom pop
bedroom soul
belarusian indie
belarusian pop
belarusian rock
belgian contemporary classical
belgian dance
belgian edm
belgian indie
belgian indie rock
belgian jazz
belgian new wave
belgian pop
belgian rock
belgian singer-songwriter
belly dance
bengali folk
beninese pop
bergen indie
berlin school
bhangra
big band
big beat
big room
binaural
birmingham grime
birmingham hip hop
birmingham metal
bitpop
black 'n' roll
black comedy
black metal
black thrash
blackened crust
blackgaze
bleep techno
bluegrass
bluegrass gospel
blues
blues latinoamericano
blues rock
bmore
bohemian baroque
bolero
bolero cubano
boogaloo
boogie
boogie-woogie
boom bap
bossa nova
bossa nova jazz
boston hardcore
boston hip hop
boston indie
boston metal
boston punk
boston rock
bounce
bouncy house
bouzouki
bow pop
boy band
boy pop
boy soprano
brain waves
braindance
brass band
brass ensemble
brass quintet
brazilian boogie
brazilian composition
brazilian edm
brazilian hip hop
brazilian indie
brazilian jazz
brazilian metal
brazilian modern jazz
brazilian percussion
brazilian psychedelic
brazilian punk
brazilian punk rock
brazilian reggae
brazilian rock
brazilian ska
brazilian soul
brazilian thrash metal
breakbeat
breakcore
brega
breton folk
brighton indie
brill building pop
brisbane indie
bristol electronic
bristol indie
brit funk
british alternative rock
british black metal
british blues
british brass band
british children's music
british choir
british comedy
british contemporary classical
british dance band
british experimental
british folk
british indie rock
british industrial
british invasion
british jazz
british modern classical
british post-rock
british singer-songwriter
british soul
british soundtrack
britpop
broadway
broken beat
bronx hip hop
brooklyn indie
brostep
brutal death metal
brutal deathcore
bubble trance
bubblegum dance
bubblegum pop
buffalo ny indie
buffalo ny metal
bulgarian folk
burmese traditional
bush ballad
c-pop
c86
cabaret
cajun
calgary indie
cali rap
calming instrumental
calypso
cambodian rock
cambridge choir
cambridgeshire indie
canadian americana
canadian blues
canadian ccm
canadian celtic
canadian children's music
canadian choir
canadian classical
canadian comedy
canadian contemporary country
canadian contemporary r&b
canadian country
canadian electronic
canadian electropop
canadian experimental
canadian folk
canadian hardcore
canadian hip hop
canadian house
canadian indie
canadian indie folk
canadian indigenous
canadian latin
canadian metal
canadian metalcore
canadian modern jazz
canadian pop
canadian pop punk
canadian post-hardcore
canadian post-rock
canadian psychedelic
canadian punk
canadian rock
canadian rockabilly
canadian singer-songwriter
canadian soundtrack
cancion infantil mexicana
cancion melodica
candomble
candy pop
cantautor
cante flamenco
canterbury scene
canto popular uruguayo
cantopop
canzone d'autore
canzone genovese
canzone napoletana
cape breton folk
cape town indie
cape verdean folk
carnatic
carnatic instrumental
carnatic vocal
cartoon
cathedral choir
catstep
ccm
cedm
cello
celtic
celtic harp
celtic metal
celtic punk
celtic rock
cha-cha-cha
chakra
chamber choir
chamber ensemble
chamber folk
chamber orchestra
chamber pop
chamber psych
champeta
channel islands indie
channel pop
chanson
chanson paillarde
chaotic hardcore
charanga
charlotte nc indie
charlottesville indie
chattanooga indie
chicago blues
chicago drill
chicago hardcore
chicago house
chicago indie
chicago pop punk
chicago punk
chicago rap
chicago soul
chicano punk
chicano rap
chicha
chihuahua indie
children's choir
children's folk
children's music
children's story
chilean hardcore
chilean indie
chilean rock
chill beats
chill guitar
chill lounge
chillhop
chillstep
chillwave
chinese audiophile
chinese classical
chinese classical performance
chinese electropop
chinese folk
chinese hip hop
chinese idol pop
chinese indie
chinese indie rock
chinese instrumental
chinese jazz
chinese soundtrack
chinese traditional
chiptune
chopped and screwed
choral
choro
christchurch indie
christian a cappella
christian alternative rock
christian dance
christian hard rock
christian hardcore
christian hip hop
christian indie
christian metal
christian music
christian pop
christian power metal
christian punk
christian relaxative
christian rock
christian trap
christian uplift
christmas instrumental
chunchaca
chutney
cincinnati indie
cinematic post-rock
circuit
circus
classic afrobeat
classic arab pop
classic australian country
classic belgian pop
classic bollywood
classic canadian rock
classic cantopop
classic colombian pop
classic country pop
classic czech pop
classic danish pop
classic eurovision
classic finnish pop
classic finnish rock
classic french pop
classic garage rock
classic girl group
classic greek pop
classic hardstyle
classic icelandic pop
classic iskelma
classic israeli pop
classic italian folk pop
classic italian pop
classic j-rock
classic japanese jazz
classic korean pop
classic mandopop
classic norwegian pop
classic opm
classic pakistani pop
classic persian pop
classic peruvian pop
classic polish pop
classic praise
classic progressive house
classic psychedelic rock
classic rock
classic russian pop
classic russian rock
classic schlager
classic soul
classic soundtrack
classic swedish pop
classic thai pop
classic turkish pop
classic uk pop
classic venezuelan pop
classical
classical accordion
classical baritone
classical bass
classical cello
classical clarinet
classical contralto
classical countertenor
classical era
classical flute
classical guitar
classical guitar quartet
classical harp
classical horn
classical mandolin
classical mezzo-soprano
classical oboe
classical organ
classical performance
classical piano
classical piano duo
classical piano trio
classical saxophone
classical soprano
classical tenor
classical trumpet
classify
clawhammer banjo
clean comedy
coco
collage pop
college a cappella
college marching band
colombian hip hop
colombian pop
colombian rock
columbus ohio indie
comedienne
comedy
comedy rap
comedy rock
comic
comic metal
complextro
compositional ambient
concepcion indie
concert band
concertina
connecticut hardcore
connecticut indie
conscious hip hop
contemporary classical
contemporary classical piano
contemporary country
contemporary folk
contemporary gospel
contemporary jazz
contemporary post-bop
contemporary vocal jazz
contrabass
cook islands pop
cool jazz
copla
cornwall indie
corrido
corridos tumbados
corrosion
cosmic american
cosmic post-rock
country
country blues
country boogie
country dawn
country gospel
country pop
country rap
country road
country rock
coverchill
cowboy western
cowpunk
crack rock steady
croatian folk
croatian pop
croatian rock
crossover thrash
crunk
crust punk
cuarteto
cuatro venezolano
cuban alternative
cuban rumba
cubaton
cumbia
cumbia andina mexicana
cumbia chilena
cumbia ecuatoriana
cumbia funk
cumbia lagunera
cumbia paraguaya
cumbia peruana
cumbia pop
cumbia ranchera
cumbia salvadorena
cumbia santafesina
cumbia sonidera
cumbia villera
cyberpunk
cymraeg
cypriot pop
czech contemporary classical
czech folk
czech hip hop
czech rock
czsk hip hop
d-beat
dabke
dakke dak
dallas indie
dance pop
dance rock
dance-punk
dancehall
dangdut
danish classical
danish electronic
danish electropop
danish hip hop
danish jazz
danish metal
danish pop
danish pop rock
danish post-punk
danish rock
danish singer-songwriter
dansband
danseband
dansktop
danspunk
dark cabaret
dark disco
dark jazz
dark post-punk
dark techno
dark trap
dark wave
darksynth
dayton indie
dc hardcore
dc indie
death 'n' roll
death metal
deathcore
deathgrass
deathgrind
deathrash
deathrock
deathstep
deep acoustic pop
deep adult standards
deep big room
deep ccm
deep christian rock
deep classic garage rock
deep comedy
deep contemporary country
deep cumbia sonidera
deep dance pop
deep delta blues
deep disco
deep disco house
deep dnb
deep east coast hip hop
deep euro house
deep free jazz
deep freestyle
deep funk
deep g funk
deep gothic post-punk
deep groove house
deep house
deep idm
deep indian pop
deep indie singer-songwriter
deep latin alternative
deep latin christian
deep melodic euro house
deep melodic metalcore
deep minimal techno
deep motown
deep new americana
deep new wave
deep norteno
deep northern soul
deep pop edm
deep pop r&b
deep psychobilly
deep punk rock
deep r&b
deep ragga
deep regional mexican
deep smooth jazz
deep soft rock
deep soul house
deep soundtrack
deep southern soul
deep southern trap
deep talent show
deep tech house
deep tropical house
deep underground hip hop
deep uplifting trance
delta blues
dembow
denpa-kei
denton tx indie
denver indie
derby indie
desert blues
desi hip hop
desi pop
destroy techno
detroit hip hop
detroit house
detroit techno
detroit trap
detske pisnicky
detskie pesni
devon indie
dfw rap
dhrupad
digital hardcore
dinner jazz
dirty south rap
dirty texas rap
disco
disco house
disney
diva house
dixieland
diy emo
djent
dmv rap
dominican pop
dong-yo
doo-wop
doom metal
doujin
downtempo
drama
dream pop
dream trance
dreamgaze
dreamo
drift
drill
drill and bass
drone
drone ambient
drone folk
drone metal
