year,acousticness,danceability,energy,instrumentalness,liveness,speechiness,popularity
1921,0.8958234375,0.4256609375,0.2367835938,0.3223301102,0.2158140625,0.0772578125,0.3515625
1922,0.9392361111,0.48,0.23702625,0.440469941,0.2386472222,0.1154194444,0.1388888889
1923,0.9763289408,0.5684615385,0.2469360947,0.4019324824,0.2366556213,0.0986189349,5.7278106509
1924,0.9355745443,0.5486540084,0.3470329114,0.5839546946,0.2378746835,0.0902097046,0.6033755274
1925,0.9654220532,0.5718897338,0.2643726236,0.4088934084,0.2430935361,0.1154574144,2.7072243346
1926,0.7409195938,0.5582951945,0.2391949314,0.4685052737,0.2340525172,0.3066724256,1.6132723112
1927,0.9346063229,0.6499597315,0.2561587248,0.4022757838,0.1677785235,0.1161974832,0.8322147651
1928,0.9461880059,0.5296956889,0.2071427473,0.516979011,0.1779883347,0.1353132713,1.5367709214
1929,0.5911105087,0.6470050866,0.2405134199,0.2194612604,0.2359883117,0.485278355,0.3279220779
1930,0.9434741673,0.5103822492,0.3273001929,0.3633766403,0.2173203969,0.0797023705,0.8715545755
1931,0.8758935229,0.5560935229,0.25843397,0.3320111004,0.2391178515,0.2331815166,0.2116903633
1932,0.9400876827,0.5600509395,0.3054784969,0.2264179157,0.236319833,0.1417764092,1.5427974948
1933,0.9050108605,0.6037663987,0.2873606109,0.130555862,0.2101554662,0.0961705788,7.0691318328
1934,0.8928537502,0.529833935,0.2599906137,0.2738650766,0.2163281588,0.1044093863,1.0469314079
1935,0.7813302689,0.5533638924,0.2446984443,0.2264789074,0.2281231754,0.3548051216,1.3629961588
1936,0.7959034991,0.5329999051,0.3061978844,0.3017565864,0.2255702087,0.2148651803,5.0104364326
1937,0.8996308725,0.5568880872,0.2869961913,0.3357339787,0.2179909396,0.0864667785,3.5503355705
1938,0.9161265271,0.4869817708,0.2836270833,0.3641272088,0.2345378472,0.0983902778,2.03125
1939,0.8828339079,0.5130918919,0.2956483483,0.2661899461,0.2347011011,0.1273245245,4.2202202202
1940,0.84711055,0.52163935,0.309803345,0.3154855368,0.2643472,0.2440925,0.827
1941,0.8995705487,0.4804421325,0.2614719151,0.4482176607,0.200939648,0.0938555901,1.2401656315
1942,0.8510355434,0.4658139478,0.2573034991,0.3902667348,0.2133015161,0.0826349303,0.9539114615
1943,0.9157940063,0.4674970032,0.2751607729,0.395795039,0.2356927445,0.113055205,1.1845425868
1944,0.8937054685,0.507083485,0.2609407932,0.4394833785,0.2359942783,0.1718195059,2.6788036411
1945,0.701386808,0.52003165,0.2270281005,0.270448321,0.20299625,0.31295845,1.7565
1946,0.9242169261,0.4035145043,0.2042521357,0.4953751797,0.2078393214,0.0880250166,1.6453759148
1947,0.9153985351,0.4723986067,0.258910931,0.3446971021,0.2206928436,0.1009103863,1.1614946168
1948,0.9342651499,0.439915364,0.2475423421,0.3920723084,0.2215318522,0.0866252677,1.5824411135
1949,0.907894695,0.44162305,0.244627165,0.2934789617,0.210266,0.1033084,3.307
1950,0.8667234606,0.4914329,0.324979145,0.2620445836,0.2127911,0.1181832,2.7035
1951,0.9049332957,0.4597661,0.25026026,0.3064557012,0.2159926,0.107834,2.799
1952,0.861885918,0.46265855,0.25158091,0.2775592566,0.2276149,0.1641967,2.9865
1953,0.8911394585,0.436234359,0.2653103795,0.2902702251,0.2256792308,0.0960542051,3.1774358974
1954,0.8679190723,0.46662995,0.25936111,0.2783722442,0.21994595,0.1159951,7.0835
1955,0.845071037,0.49018335,0.287021395,0.2257914493,0.22586435,0.10661965,8.8735
1956,0.82009984,0.48488295,0.306298675,0.2347910878,0.1860197,0.06405415,15.104
1957,0.79008145,0.50743335,0.29674755,0.1923353099,0.18274105,0.06572105,18.6135
1958,0.777831215,0.4815849,0.311422635,0.1862844468,0.2038149,0.0578502,18.1555
1959,0.77708802,0.48886505,0.31679769,0.178835127,0.1963936,0.0718479,19.805
1960,0.757064973,0.4873433,0.34719967,0.17841129,0.20411595,0.06681045,18.4845
1961,0.751735725,0.4892041,0.343305774,0.2601774557,0.21087845,0.0622034,18.2335
1962,0.7130967665,0.4992031,0.379657,0.1735279233,0.2068896,0.05817435,20.336
1963,0.712598155,0.4863314,0.373388235,0.1906136671,0.20351605,0.0546331,24.365
1964,0.686364562,0.50658625,0.397462465,0.1557207495,0.2202171,0.06515295,25.1475
1965,0.607825756,0.5048521,0.445830653,0.1096394491,0.21337455,0.0582296,26.6705
1966,0.5338556565,0.5035686,0.472649405,0.1076216964,0.2163386,0.05564505,28.06
1967,0.5165645677,0.49844525,0.452212345,0.1030442818,0.19169365,0.05105005,31.207
1968,0.4888282134,0.50047985,0.456669245,0.1117965118,0.2179106,0.0600978,30.9155
1969,0.4437219521,0.49049835,0.48958083,0.1559969691,0.2086283,0.0561868,32.872
1970,0.452994844,0.509339,0.49700465,0.1252118516,0.2163628,0.053003,34.439
1971,0.4529076997,0.50451935,0.500450855,0.1246193101,0.21742735,0.06172,34.664
1972,0.4573328182,0.5208465,0.5069524,0.1129218106,0.2093138,0.0548739,34.7465
1973,0.412536525,0.5135514,0.53483924,0.1045065586,0.20650535,0.0575813,36.6775
1974,0.4377837534,0.52052895,0.521901915,0.1110082963,0.22111405,0.05933695,32.1815
1975,0.4157035167,0.523718,0.534788445,0.1059664985,0.22028765,0.0617354,34.662
1976,0.3622528488,0.53280355,0.555976895,0.1194605561,0.2525387,0.0650382,35.874
1977,0.3320942072,0.5372937,0.564516209,0.1258546765,0.2240226,0.0606237,35.743
1978,0.3161986311,0.54478325,0.570141965,0.098767662,0.2239043,0.0639651,35.7055
1979,0.2822550053,0.5618163,0.598865365,0.1086424838,0.2181085,0.0687692,35.798
1980,0.2828986153,0.5578385,0.60089611,0.1227103048,0.20805325,0.0601958,35.7065
1981,0.2924303565,0.54187025,0.6013340175,0.1545069439,0.2254533,0.05825155,35.2655
1982,0.283249098,0.56573035,0.6000364395,0.0932793671,0.2013609,0.06617205,35.725
1983,0.2770946563,0.54803335,0.614877525,0.1425361275,0.2018573,0.0687133,35.911
1984,0.271246582,0.5397952,0.60113052,0.1374123666,0.19596895,0.0611703,37.168
1985,0.2789642977,0.55850035,0.61172402,0.1083478512,0.1995335,0.0578907,36.5785
1986,0.2716728882,0.5447083,0.6218376,0.1142891061,0.20997095,0.06586145,37.0025
1987,0.3010764182,0.54301125,0.587712445,0.0988085337,0.1996317,0.0583823,39.187
1988,0.302313665,0.54506375,0.59349891,0.1088032594,0.21206585,0.06772325,38.838
1989,0.3000957812,0.55203085,0.591701695,0.1037213309,0.198774,0.06488795,38.6295
1990,0.3040925321,0.54518535,0.5876502,0.1065854225,0.2002561,0.0678364,39.785
1991,0.3159683435,0.56122825,0.56602222,0.1089939289,0.1902512,0.07370745,41.21
1992,0.3066029513,0.56382585,0.589770795,0.0946897884,0.2004604,0.0755334,42.485
1993,0.2910173217,0.5744991,0.571926055,0.1149792563,0.19882815,0.0781756,42.325
1994,0.2883338279,0.5593907,0.5906283395,0.1074914941,0.1930889,0.07814085,44.3795
1995,0.2849552796,0.56496445,0.589224815,0.108765109,0.19991025,0.08232495,44.443
1996,0.2859228642,0.59172145,0.591787605,0.084890561,0.20051785,0.0875631,44.4005
1997,0.303142846,0.57796695,0.6018173451,0.1073297123,0.20388905,0.0900282,45.1835
1998,0.2779776349,0.5928674,0.61484337,0.1005136064,0.19614045,0.0947249,45.231
1999,0.263356708,0.5862456,0.6419781985,0.0876137149,0.20873355,0.09936195,46.8325
2000,0.2866543025,0.5890394,0.62222284,0.0997897603,0.20091825,0.08985415,46.3125
2001,0.2703921672,0.58593315,0.638171686,0.0947537968,0.1872397,0.0912574,48.6245
2002,0.2754086055,0.57862785,0.65135229,0.0811027373,0.19558895,0.0838091,48.202
2003,0.247379432,0.57663275,0.66617755,0.0806846906,0.19546715,0.09231585,48.4045
2004,0.2642102908,0.5722624,0.66055256,0.0692872709,0.2022549,0.09381965,48.974
2005,0.2468167426,0.5763006,0.659766555,0.0810817804,0.189185735,0.09406585,50.3475
2006,0.266283979,0.56844475,0.657829535,0.0732088886,0.18738655,0.08384885,50.631
2007,0.2418043613,0.56483005,0.6730113,0.0715617658,0.19531585,0.083876,50.7085
2008,0.2411181201,0.5834105,0.6758608923,0.0610757225,0.1985907,0.07707565,50.522
2009,0.2452693459,0.56685735,0.680765665,0.0634290059,0.20644795,0.08704805,51.36
2010,0.2287122831,0.57781115,0.6936963551,0.0779705153,0.201977,0.08600675,52.7635
2011,0.2393817572,0.55982215,0.671269066,0.0856902828,0.2040738,0.0899024,53.184
2012,0.2361965865,0.5716951,0.66981134,0.0692875415,0.1951285,0.08370135,54.34
2013,0.2419685897,0.57887375,0.6564671888,0.072768731,0.1995335,0.0976217,55.6915
2014,0.2376140195,0.58957415,0.6534970216,0.0585428427,0.1900837,0.08467125,56.9645
2015,0.2468009213,0.5910075608,0.6334988268,0.0582616597,0.1875131538,0.0957433972,59.5479026411
2016,0.2802897038,0.599976384,0.5928771562,0.0746463835,0.1801979685,0.1072982224,61.3712544439
2017,0.2899162909,0.6122864,0.5867385869,0.0982092128,0.19421845,0.11175245,64.8615
2018,0.2719409026,0.66493,0.59059117,0.0359479206,0.17178135,0.1281401,67.276
2019,0.2892975455,0.64421535,0.5787961133,0.0765175895,0.1671606,0.1247987,69.6555
2020,0.2473740374,0.6730774487,0.6119141913,0.039052253,0.1770481777,0.1435048405,63.111047836
