artists,popularity,genres
"""Cats"" 1981 Original London Cast",38,['show tunes']
"""Cats"" 1983 Broadway Cast",33.0769230769,[]
"""Fiddler On The Roof” Motion Picture Chorus",34.2857142857,[]
"""Fiddler On The Roof” Motion Picture Orchestra",34.4444444444,[]
"""Joseph And The Amazing Technicolor Dreamcoat"" 1991 London Cast",42.5555555556,[]
"""Joseph And The Amazing Technicolor Dreamcoat"" 1992 Canadian Cast",34.1666666667,[]
"""Mama"" Helen Teagarden",0,[]
"""Mista Dj Paul",36,[]
"""Test for Victor Young""",2,[]
"""Weird Al"" Yankovic",33.6818181818,"['antiviral pop', 'comedy rock', 'comic', 'parody']"
$IMEON,62.6666666667,[]
$NOT,64.625,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']"
$pyda,58,[]
$uicideBoy$,61.6475409836,"['dark trap', 'new orleans rap', 'underground hip hop']"
Be More Chill' Ensemble,52,[]
In The Heights' Original Broadway Company,46.5882352941,"['broadway', 'show tunes']"
Legally Blonde' Ensemble,48.1666666667,"['broadway', 'hollywood', 'show tunes']"
Legally Blonde' Greek Chorus,49,['show tunes']
Little Women' Original Broadway Cast,42,[]
Til Tuesday,35.125,"['boston rock', 'dance rock', 'new romantic', 'new wave', 'new wave pop']"
((( O ))),66,"['latin', 'puerto rican pop', 'reggaeton', 'trap latino']"
(Con La Participación De Eros Ramazzotti),43,[]
(Con La Participación de Marc Anthony),44,[]
(G)I-DLE,74.6666666667,"['k-pop', 'k-pop girl group']"
(Hed) P.E.,45.8,"['alternative metal', 'industrial metal', 'nu metal', 'post-grunge', 'rap metal', 'rap rock']"
*NSYNC,45.7948717949,"['boy band', 'dance pop', 'europop', 'pop']"
44,43.75,[]
-0,55,"['alternative pop rock', 'neon pop punk', 'pop emo', 'pop punk', 'texas pop punk']"
...And You Will Know Us by the Trail of Dead,35,"['alternative rock', 'dance-punk', 'indie rock', 'lo-fi', 'modern rock', 'post-hardcore']"
...Bender,42,[]
03 Greedo,59.2,"['cali rap', 'melodic rap', 'trap', 'underground hip hop', 'vapor trap']"
070 Shake,63,"['alternative r&b', 'indie r&b', 'new jersey rap']"
10 Ft. Ganja Plant,48.5,"['dub', 'east coast reggae', 'reggae', 'reggae rock', 'roots reggae']"
10 Years,47.75,"['alternative metal', 'christian rock', 'nu metal', 'post-grunge', 'rap rock']"
"10,000 Maniacs",36.7727272727,"['dance rock', 'folk', 'lilith', 'new wave pop', 'pop rock']"
100 gecs,63.5,"['art pop', 'escape room', 'hyperpop']"
101 Strings Orchestra,26.1666666667,"['adult standards', 'ballroom', 'easy listening', 'lounge']"
1017 Eskimo,62,[]
10cc,41.1904761905,"['album rock', 'art rock', 'classic rock', 'classic uk pop', 'dance rock', 'folk rock', 'glam rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock', 'yacht rock']"
11/5,37,"['dirty texas rap', 'g funk', 'hyphy', 'west coast trap']"
112,48.3272727273,"['atl hip hop', 'boy band', 'dance pop', 'gangster rap', 'hip pop', 'new jack swing', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary']"
11:11,57,"['atl hip hop', 'boy band', 'dance pop', 'gangster rap', 'hip pop', 'new jack swing', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary']"
12 Pianists,52,[]
12 Stones,50.3333333333,"['alternative metal', 'christian alternative rock', 'christian hard rock', 'christian rock', 'nu metal', 'post-grunge', 'rap rock']"
1422,36,[]
1776 Ensemble,22.5,[]
1776 Orchestra,19,[]
1788-L,46,"['brostep', 'edm', 'electro house', 'zapstep']"
18 Carat Affair,48,"['chillwave', 'future funk', 'hardvapour', 'vaporwave']"
1910 Fruitgum Company,24.75,"['brill building pop', 'bubblegum pop', 'classic garage rock', 'folk rock', 'merseybeat']"
1986 Omega Tribe,37.3333333333,"['future funk', 'japanese city pop']"
1way Frank,56,['florida rap']
2 Brothers On The 4th Floor,62,"['bubblegum dance', 'eurodance', 'europop', 'happy hardcore', 'hip house']"
2 Chainz,57.9489795918,"['atl hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
2 Crows,0,[]
2 Guys n the Parque,48,[]
2 Hyped Brothers & A Dog,27,[]
2 In A Room,29,"['hip house', 'latin house', 'vogue']"
2 LIVE CREW,36.2380952381,"['electro', 'gangster rap', 'hip hop', 'hip house', 'miami bass', 'miami hip hop', 'old school hip hop', 'rap']"
2 Pistols,52,"['dirty south rap', 'pop rap', 'southern hip hop', 'trap']"
2 Unlimited,49,"['bubblegum dance', 'eurodance', 'europop', 'hip house']"
2* Sweet,45,[]
20 Fingers,50,"['eurodance', 'hip house']"
20/20,24,"['atl hip hop', 'dirty south rap', 'southern hip hop', 'trap']"
2002,47.3333333333,"['healing', 'new age']"
2014 ATHINAIKI DISCOGRAFIKI,0,[]
20th Century Fox Studio Orchestra,0,[]
21 Savage,66.2025316456,"['atl hip hop', 'rap', 'trap']"
"22, Little Red, Tangle Eye & Hard Hair",16,[]
22Gz,70,['nyc rap']
24 Horas,46,"['bachata', 'latin', 'tropical']"
24hrs,67.5,"['trap', 'trap soul', 'underground hip hop', 'vapor trap']"
24kGoldn,69.4705882353,"['cali rap', 'pop rap']"
27CLUB,70,['emo rap']
2Baba,0,"['afro dancehall', 'afropop', 'nigerian hip hop', 'nigerian pop']"
2CELLOS,58.5,"['bow pop', 'cello', 'classify']"
2KBABY,67.3333333333,[]
2NE1,64,"['dance pop', 'k-pop', 'k-pop girl group']"
2Pac,49.0853242321,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']"
2Pac a.k.a. Makaveli,42,[]
2forwOyNE,62,[]
2nd Chapter Of Acts,28.5,"['christian music', 'deep christian rock']"
2nd Generation Outlawz,0,[]
2nd II None,35.3333333333,"['gangster rap', 'west coast rap']"
2nd South Carolina String Band,39.5,"['string band', 'traditional country']"
3 Doors Down,49.7272727273,"['alternative metal', 'nu metal', 'pop rock', 'post-grunge']"
3 Inches Of Blood,46,"['canadian metal', 'power metal', 'speed metal', 'vancouver metal', 'vancouver punk']"
3 in One,0,[]
3-2,32,[]
30 Roc,68,[]
311,40.3278688525,"['alternative metal', 'alternative rock', 'funk metal', 'funk rock', 'nu metal', 'pop rock', 'post-grunge', 'rap rock', 'reggae fusion', 'rock']"
35MM: A Musical Exhibition Original Cast,49,[]
36 Crazyfists,52,"['alternative metal', 'melodic metalcore', 'metalcore', 'nu metal', 'rap rock']"
38 Special,32.2888888889,"['album rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'mellow gold', 'rock', 'soft rock', 'southern rock']"
3BallMTY,57,"['mexican indie', 'trival']"
3LAU,58,"['big room', 'edm', 'electro house', 'electronic trap', 'electropop', 'mashup', 'pop edm', 'progressive electro house', 'progressive house', 'tropical house']"
3LW,49.2,"['girl group', 'hip pop', 'r&b', 'urban contemporary']"
3OH!3,53.7,"['dance pop', 'electropowerpop', 'pop', 'pop punk', 'pop rap', 'post-teen pop']"
3T,45.3333333333,"['electro-industrial', 'industrial', 'industrial metal', 'industrial rock']"
3X Krazy,47,"['g funk', 'hyphy', 'west coast rap', 'west coast trap']"
3rd Bass,30,"['east coast hip hop', 'electro', 'gangster rap', 'hardcore hip hop', 'hip hop', 'hip house', 'rap']"
3rd Strike,38,"['nu metal', 'rap rock']"
3年E組うた担(渚&茅野&業&磯貝&前原),60,[]
4 Non Blondes,48,"['new wave pop', 'pop rock']"
4 P.M.,37,"['anime rock', 'vocaloid']"
4 Skins,35.5,"['oi', 'punk', 'ska']"
4 Strings,56,"['bubble trance', 'dutch trance', 'progressive house', 'trance', 'uplifting trance', 'vocal trance']"
40 Thevz,52,[]
42 Dugg,71,"['detroit trap', 'southern hip hop', 'trap']"
420 Unlovable,60,['meme rap']
42nd Street Ensemble,17.3333333333,['broadway']
433,64,[]
45 Grave,27.6666666667,"['dark wave', 'deathrock', 'gothic rock', 'horror punk']"
4B,54,"['brostep', 'electro house', 'electronic trap']"
4Him,32.6666666667,"['christian alternative rock', 'christian music', 'deep christian rock', 'worship']"
4Minute,61,"['k-pop', 'k-pop girl group']"
5 Seconds of Summer,61.9255319149,"['boy band', 'dance pop', 'pop', 'post-teen pop']"
50 Cent,52.1976047904,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']"
504 Boyz,43.6666666667,"['dirty south rap', 'pop rap', 'southern hip hop']"
520Hz,56,['white noise']
54-40,45,"['canadian indie', 'canadian rock']"
5th Ward Boyz,36,"['dirty south rap', 'dirty texas rap', 'gangster rap']"
6 Dogs,68,"['dark trap', 'emo rap', 'melodic rap', 'underground hip hop', 'vapor trap']"
645AR,68,['meme rap']
69 Boyz,39.6,['miami bass']
